location,date,survey_num,count
Paynes Prairie,3/21/2019,1,36
Paynes Prairie,4/18/2019,2,40
Paynes Prairie,5/19/2019,3,53
Paynes Prairie,5/30/2019,4,46
Paynes Prairie,6/21/2019,5,49
Paynes Prairie,7/18/2019,6,66
Paynes Prairie,10/28/2019,OCT,78
Paynes Prairie,2/20/2020,FEB,111
Paynes Prairie,3/19/2020,1,122
Paynes Prairie,4/7/2020,2,151
Paynes Prairie,4/30/2020,3,122
Paynes Prairie,5/19/2020,4,112
Paynes Prairie,6/11/2020,5,63
Paynes Prairie,6/23/2020,6,89
Paynes Prairie,10/29/2020,OCT,82
Paynes Prairie,2/19/2021,FEB,53
Paynes Prairie,3/19/2021,1,12
Paynes Prairie,4/7/2021,2,16
Paynes Prairie,1/21/2022,JAN,41
Paynes Prairie,2/16/2022,FEB,50
Paynes Prairie Central,3/15/2022,1,45
Paynes Prairie,3/15/2022,1,77
Paynes Prairie Central,4/7/2022,2,30
Paynes Prairie,4/7/2022,2,76
Paynes Prairie Central,4/28/2022,3,18
Paynes Prairie,4/28/2022,3,98
Paynes Prairie Central,5/19/2022,4,30
Paynes Prairie,5/19/2022,4,91
Paynes Prairie Central,6/9/2022,5,28
Paynes Prairie,6/9/2022,5,113
Paynes Prairie Central,6/30/2022,6,32
Paynes Prairie,6/30/2022,6,108
Paynes Prairie Central,10/26/2022,OCT,14
Paynes Prairie,10/26/2022,OCT,247
Paynes Prairie Central,1/20/2023,JAN,48
Paynes Prairie,1/20/2023,JAN,133
Paynes Prairie Central,2/14/2023,FEB,33
Paynes Prairie,2/14/2023,FEB,160
Paynes Prairie Central,3/14/2023,1,41
Paynes Prairie,3/14/2023,1,104
Paynes Prairie Central,4/4/2023,2,49
Paynes Prairie,4/4/2023,2,115
Paynes Prairie Central,4/25/2023,3,65
Paynes Prairie,4/25/2023,3,106
Paynes Prairie Central,5/16/2023,4,66
Paynes Prairie,5/16/2023,4,71
Paynes Prairie,6/6/2023,5,47
Paynes Prairie Central,6/27/2023,6,36
Paynes Prairie,6/27/2023,6,42
Paynes Prairie,10/26/2023,OCT,68
Paynes Prairie,1/23/2024,JAN,6
Paynes Prairie,2/20/2024,FEB,4
Paynes Prairie,3/19/2024,1,2
